timestamp,type,event_number,adc,elapsed_ms,dead_time_ms,temperature,pressure,detector_id
2026-09-05 11:58:29,T,3938,99,3293617,2373,28.7,1021.8,56-614-135
2026-09-05 11:58:29,T,3939,122,3293748,2373,28.7,1021.8,56-614-135
2026-09-05 11:58:29,T,3940,206,3294232,2373,28.7,1021.8,56-614-135
2026-09-05 11:58:30,T,3941,151,3294469,2375,28.7,1021.8,56-614-135
2026-09-05 11:58:30,B,4655,93,3294591,5067,28.7,1021.8,56-614-135
2026-09-05 11:58:30,B,4656,535,3294727,5067,28.7,1021.8,56-614-135
2026-09-05 11:58:30,T,3942,398,3294727,2375,28.7,1021.8,56-614-135
2026-09-05 11:58:30,B,4657,373,3294908,5067,28.7,1021.8,56-614-135
2026-09-05 11:58:30,B,4658,471,3294951,5067,28.7,1021.8,56-614-135
2026-09-05 11:58:31,B,4659,202,3295609,5073,28.7,1021.8,56-614-135
2026-09-05 11:58:31,B,4660,263,3295623,5073,28.7,1021.8,56-614-135
2026-09-05 11:58:31,B,4661,254,3295958,5073,28.7,1021.8,56-614-135
2026-09-05 11:58:31,B,4662,65,3295990,5073,28.7,1021.8,56-614-135
2026-09-05 11:58:31,B,4663,100,3296055,5073,28.7,1021.8,56-614-135
2026-09-05 11:58:31,B,4664,92,3296309,5073,28.7,1021.8,56-614-135
2026-09-05 11:58:31,T,3943,462,3296332,2376,28.7,1021.8,56-614-135
2026-09-05 11:58:32,T,3944,914,3296664,2377,28.7,1021.9,56-614-135
2026-09-05 11:58:32,B,4665,139,3296899,5076,28.7,1021.9,56-614-135
2026-09-05 11:58:32,B,4666,93,3297041,5076,28.7,1021.9,56-614-135
2026-09-05 11:58:32,B,4667,344,3297064,5076,28.7,1021.9,56-614-135
2026-09-05 11:58:32,T,3945,118,3297491,2377,28.7,1021.9,56-614-135
2026-09-05 11:58:33,T,3946,131,3298256,2378,28.7,1021.9,56-614-135
2026-09-05 11:58:34,B,4668,160,3298726,5077,28.7,1021.9,56-614-135
2026-09-05 11:58:35,T,3947,487,3299539,2380,28.7,1021.9,56-614-135
2026-09-05 11:58:35,T,3948,435,3299656,2380,28.7,1021.9,56-614-135
2026-09-05 11:58:35,B,4669,456,3299656,5078,28.7,1021.9,56-614-135
2026-09-05 11:58:35,C,701,445,3299656,3729,28.7,1021.9,56-614-135
2026-09-05 11:58:35,T,3949,120,3299738,2380,28.7,1021.9,56-614-135
2026-09-05 11:58:36,B,4670,173,3300559,5079,28.7,1021.9,56-614-135
2026-09-05 11:58:39,B,4671,317,3303679,5082,28.7,1021.8,56-614-135
2026-09-05 11:58:39,T,3950,405,3303976,2381,28.7,1021.8,56-614-135
2026-09-05 11:58:39,B,4672,569,3303976,5082,28.7,1021.8,56-614-135
2026-09-05 11:58:39,C,702,487,3303976,3731,28.7,1021.8,56-614-135
2026-09-05 11:58:40,B,4673,521,3304732,5086,28.7,1021.8,56-614-135
